outlet_id,cm_channel_id
8388,6741
8396,7052
8402,7053
249885,91021
8418,6960
252531,90401
303628,7112
8440,91274
297387,6991
316129,8357
22321,8207
245035,8334
40167,8288
8775,5437
8781,8062
49032,4502
8800,8002
43189,129
7074,91306
22907,6868
411485,90271
49077,4784
40014,274
248335,90366
261331,91138
259544,6409
252559,7108
5501,8069
7073,7014
8458,7055
6972,7005
10240,7067
8276,7103
251434,7028
7095,7000
321378,7059
7775,91041
396636,90330
396572,91043
22802,7402
22555,781
396598,90732
21937,8057
396637,91140
252260,90327
49139,8032007
45268,8070
45271,91070
49677,90286
75359,8066007
45376,67007
396638,8068
45384,90586
45386,90841
40391,293
396781,91121
75749,6845
335816,90964
14757,9552
396568,90667
49943,8103
20944,26
22745,8024
259547,77
90776,8423
315619,8327
22758,8438
22178,198
316169,8138
50288,8680
76299,8041
42829,120
76343,1333
49253,8354007
315251,290
76317,8796
108599,8416
45532,8095
39895,8052
49079,960007
41158,8315
15016,90742
49812,8144007
269209,6
262561,90653
49214,9959
46144,90723
277550,90646
49216,904
20899,90480
269174,90832
15037,90842
21033,6940
269216,90379
49229,90307
170282,91013
49235,91175
23007,14005
7435,7024
396829,7019
252078,6702
16047,90381
8470,7057
8365,2199
251903,7023
7068,7100
256115,90988
16621,91137
49275,974
21351,96
296759,90782
269232,90144
45765,6655
396645,90149
269234,90147
45778,90148
249271,1629
17751,8003
269015,90918
277542,90879
22814,6863
166882,90828
7794,90525
8431,7054
6411,7087
250658,91164
250645,7091
314805,8556
46188,91147
105447,91141
49333,8029
19502,91014
19678,20146
396650,20142
58626,20147
58627,20144
396582,91160
58637,20148
58629,20121
58633,20141
58634,20108
396648,90134
396652,20118
46068,91068
46071,91116
252002,6717
20583,8132
70818,6770
20586,8023
20589,90476
79490,538
20599,540
74834,91223
20605,90375
314151,91322
314005,545
49446,146
20623,1581
20636,6917
316646,547
20673,8223
396709,91035
49362,2561
20694,8147
20698,91190
20725,552
20740,76
20762,150
49364,8851
20793,8453
269181,2083
79557,596
20820,91443
20832,1685
20835,91058
297057,91057
20839,90479
256068,90766
